"Tube_ID","Fire.Interval","Fire.Severity","Site","Transect","Location","Ortho_P_mg_kg","Nitrate_mg_kg","Ammonia_mg_kg","pH","log10_biomass_day","perc_myco_host_freq","C_N","C_P","N_P","Carb_Hyph","Nitrog_Hyph","Phos_Hyph","Longitude","Latitude","ITSall_OTUb_8077","ITSall_OTUa_5969","ITSall_OTUa_2413","ITSall_OTUa_13","ITSall_OTUa_2741","ITSall_OTUj_8414","ITSall_OTUc_1349","ITSall_OTUj_28185","ITSall_OTUa_151","ITSall_OTUa_1173","ITSall_OTUd_1875","ITSall_OTUj_1017","ITSall_OTUj_19960","ITSall_OTUd_3001","ITSall_OTUa_9472","ITSall_OTUa_1237","ITSall_OTUj_14242","ITSall_OTUa_6956","ITSall_OTUb_427","ITSall_OTUj_18564","ITSall_OTUb_49","ITSall_OTUb_2441","ITSall_OTUj_8801","ITSall_OTUj_1415","ITSall_OTUj_14066","ITSall_OTUa_255","ITSall_OTUj_2249","ITSall_OTUj_215","ITSall_OTUj_12319","ITSall_OTUj_12430","ITSall_OTUa_3114","ITSall_OTUj_8538","ITSall_OTUj_549","ITSall_OTUj_27906","ITSall_OTUj_20223","ITSall_OTUc_1019","ITSall_OTUn_8735","ITSall_OTUj_12577","ITSall_OTUj_28171","ITSall_OTUm_5129","ITSall_OTUa_306","ITSall_OTUb_8161","ITSall_OTUa_1907","ITSall_OTUj_10663","ITSall_OTUb_3024","ITSall_OTUj_14184","ITSall_OTUj_10443","ITSall_OTUa_586","ITSall_OTUa_1517","ITSall_OTUa_90","ITSall_OTUa_8584","ITSall_OTUe_2810","ITSall_OTUj_3346","ITSall_OTUc_407","ITSall_OTUj_119","ITSall_OTUn_12188","ITSall_OTUa_515","ITSall_OTUb_5056","ITSall_OTUf_540","ITSall_OTUa_3548","ITSall_OTUa_797","ITSall_OTUa_720","ITSall_OTUj_6306","ITSall_OTUm_8394","ITSall_OTUj_593","ITSall_OTUj_19366","ITSall_OTUj_11014","ITSall_OTUe_4361","ITSall_OTUa_9461","ITSall_OTUj_28125","ITSall_OTUm_1894","ITSall_OTUg_230","ITSall_OTUf_542","ITSall_OTUj_240","ITSall_OTUa_4352","ITSall_OTUb_26","ITSall_OTUb_7159","ITSall_OTUj_272","ITSall_OTUj_685","ITSall_OTUn_605","ITSall_OTUj_330","ITSall_OTUa_242","ITSall_OTUj_2527","ITSall_OTUm_6301","ITSall_OTUa_1016","ITSall_OTUj_175","ITSall_OTUa_8076","ITSall_OTUa_3174","ITSall_OTUj_65","ITSall_OTUj_931","ITSall_OTUm_1869","ITSall_OTUa_581","ITSall_OTUa_1255","ITSall_OTUj_8021","ITSall_OTUj_548","ITSall_OTUd_3965","ITSall_OTUj_26487","ITSall_OTUe_4441","ITSall_OTUa_762","ITSall_OTUj_644","ITSall_OTUj_286","ITSall_OTUj_26677","ITSall_OTUa_9626","ITSall_OTUa_9138","ITSall_OTUj_13635","ITSall_OTUj_17844","ITSall_OTUj_177","ITSall_OTUn_3643","ITSall_OTUm_14563","ITSall_OTUa_32","ITSall_OTUa_6712","ITSall_OTUj_9095","ITSall_OTUj_6757","ITSall_OTUj_28202","ITSall_OTUa_994","ITSall_OTUj_464","ITSall_OTUa_4555","ITSall_OTUm_386","ITSall_OTUn_12223","ITSall_OTUj_20919","ITSall_OTUj_362","ITSall_OTUj_14517","ITSall_OTUj_1545","ITSall_OTUm_39","ITSall_OTUa_2566","ITSall_OTUj_28458","ITSall_OTUa_2155","ITSall_OTUa_199","ITSall_OTUm_172","ITSall_OTUn_2565","ITSall_OTUj_11060","ITSall_OTUb_8759","ITSall_OTUb_3146","ITSall_OTUb_2058","ITSall_OTUc_2427","ITSall_OTUm_451","ITSall_OTUn_4434","ITSall_OTUa_7612","ITSall_OTUj_403","ITSall_OTUj_14951","ITSall_OTUj_1429","ITSall_OTUa_7420","ITSall_OTUm_26","ITSall_OTUm_139","ITSall_OTUm_140","ITSall_OTUa_114","ITSall_OTUm_355","ITSall_OTUj_5345","ITSall_OTUj_1470","ITSall_OTUm_12861","ITSall_OTUc_1846","ITSall_OTUj_1399","ITSall_OTUj_150","ITSall_OTUm_603","ITSall_OTUj_935","ITSall_OTUj_74","ITSall_OTUm_111","ITSall_OTUn_6179","ITSall_OTUn_316","ITSall_OTUn_4986","ITSall_OTUn_8748","ITSall_OTUn_8899","ITSall_OTUn_10605"
"73","Short","Low",5,1,3,0.0357446808510638,0.00932469935245144,0.00932469935245144,5.34,-2.01879098071506,0.691860465116279,14.1510453342791,3380.30660300233,238.873279192595,44.9728858095816,3.17806103699212,0.0133043806646526,150.27821,-33.5781,0,0,0,0,20,24,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
"93","Short","Low",5,1,16.1,0.00173749800287586,0.00611119987218406,0.0100655056718326,5.29,-2.17888351013428,0.691860465116279,14.1510453342791,3380.30660300233,238.873279192595,44.9728858095816,3.17806103699212,0.0133043806646526,150.27821,-33.5781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","Short","Low",5,1,16.2,0.031327967806841,0.0980885311871227,2.06846076458752,5.26,-1.59233254408945,0.691860465116279,14.1510453342791,3380.30660300233,238.873279192595,44.9728858095816,3.17806103699212,0.0133043806646526,150.27821,-33.5781,0,71,288,0,51,3877,153,0,0,42,15,0,0,0,160,0,1067,133,0,168,324,0,0,161,145,0,0,0,0,0,0,0,216,15,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,125,0,0,210,258,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","Short","Low",5,1,47,0.0325539705545808,0.00961171714089557,0.00961171714089557,5.14,-1.60400297627591,0.691860465116279,14.1510453342791,3380.30660300233,238.873279192595,44.9728858095816,3.17806103699212,0.0133043806646526,150.27821,-33.5781,0,0,0,0,10,0,16,0,0,0,0,0,0,0,14,0,0,0,0,10,0,0,0,10,0,0,11,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","Short","Low",5,2,3,0.0494167629411546,0.0669977266798345,0.681325233853837,5.23,-2.40661155574852,0.728155339805825,11.9443257163128,NA,NA,41.9787969811321,3.51453886792454,NA,150.27821,-33.5781,0,0,0,25,0,0,0,0,0,0,19,0,0,0,0,57,0,0,0,12,117,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,0,0,0,0,15
"89","Short","Low",5,2,16,0.0638501394978079,0.00352730171383021,0.016141889198884,5.26,-2.37035552116231,0.728155339805825,11.9443257163128,NA,NA,41.9787969811321,3.51453886792454,NA,150.27821,-33.5781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","Short","Low",5,2,33,0.0352406679764244,0.0103143418467584,0.0959602161100196,5.68,-2.27781386844128,0.728155339805825,11.9443257163128,NA,NA,41.9787969811321,3.51453886792454,NA,150.27821,-33.5781,0,0,89,0,0,0,0,0,0,0,0,0,0,0,31,0,0,27,0,65,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,3798,0,0,0,0,0,0,0,64,10319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,1644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","Short","Low",5,2,47,0.0358243860954608,0.0734559370681407,0.00818539385563942,5.47,-2.09351730554643,0.728155339805825,11.9443257163128,NA,NA,41.9787969811321,3.51453886792454,NA,150.27821,-33.5781,127,0,0,0,0,342,0,0,0,21,0,0,0,0,0,0,59,0,0,0,530,0,0,72,26,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,139,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Long","Low",7,1,3,0.068695652173913,0.0243478260869565,1.92528985507246,4.83,-2.34842566495298,0.652542372881356,14.9112509570638,6342.35095421046,425.33996459941,48.1413645619758,3.22852621155638,0.00759046052631579,150.36966,-33.63916,0,0,0,14,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27473,0,0,0,0,0,103,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10879,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Long","Low",7,1,16,0.0535915053091818,0.00787008119925047,0.0697298563397876,5.35,-2.48995309476216,0.652542372881356,14.9112509570638,6342.35095421046,425.33996459941,48.1413645619758,3.22852621155638,0.00759046052631579,150.36966,-33.63916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Long","Low",7,1,33,0.00376437783199721,0.00878354827466016,0.446314046706169,5.18,-1.56076694202777,0.652542372881356,14.9112509570638,6342.35095421046,425.33996459941,48.1413645619758,3.22852621155638,0.00759046052631579,150.36966,-33.63916,0,0,69,0,14,0,27,0,0,0,0,0,0,0,57,0,0,28,0,0,33,0,0,12,0,0,17,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Long","Low",7,1,47,0.0462812960235641,0.0185567010309278,0.51389911634757,4.79,-2.59270472742921,0.652542372881356,14.9112509570638,6342.35095421046,425.33996459941,48.1413645619758,3.22852621155638,0.00759046052631579,150.36966,-33.63916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","Long","Low",7,2,3,0.0290107287667301,0.00939215615917327,0.00904230507014963,5.22,-1.47733545891853,0.609442060085837,12.4560105495288,1824.49750684879,146.475269878268,45.4854156928949,3.65168410158543,0.0249303797468354,150.36966,-33.63916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","Long","Low",7,2,16,0.00403135498320269,0.0129619260918253,0.0354423292273236,5.37,-1.81656451387541,0.609442060085837,12.4560105495288,1824.49750684879,146.475269878268,45.4854156928949,3.65168410158543,0.0249303797468354,150.36966,-33.63916,0,0,141,0,12,23,0,0,0,0,0,0,0,0,0,0,0,34,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Long","Low",7,2,33,0.0314576076417568,0.0807178511150214,0.141828563220455,5.25,-2.69930797021427,0.609442060085837,12.4560105495288,1824.49750684879,146.475269878268,45.4854156928949,3.65168410158543,0.0249303797468354,150.36966,-33.63916,0,0,11,113,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","Long","Low",7,2,47,0.11118357307893,0.0967615711410897,0.830383096072147,5.45,-1.67124002711182,0.609442060085837,12.4560105495288,1824.49750684879,146.475269878268,45.4854156928949,3.65168410158543,0.0249303797468354,150.36966,-33.63916,0,0,0,5655,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13987,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13168,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0
"65","Long","Low",8,1,3,0.0441261966590442,0.019621332506492,0.00999961241812333,5.35,-2.08141511636098,0.715151515151515,17.4826592901475,1134.28318152932,64.8804717122502,45.300884198895,2.59118955801105,0.0399378964059197,150.32069,-33.65039,0,0,58,4601,0,120,0,0,0,25,0,0,0,0,10,0,0,16,0,55,13501,0,0,112,0,0,29,0,0,0,0,0,44,0,0,0,0,71857,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,11,0,0,0,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6542,18,0,0,0,109,0,0,0,0,0,0,0,0,19,0,4354,0,0,0,0,0,0,0,0
"70","Long","Low",8,1,16,0.0611877624475105,0.0649557588482303,1.76792141571686,5.49,-2.21656662186072,0.715151515151515,17.4826592901475,1134.28318152932,64.8804717122502,45.300884198895,2.59118955801105,0.0399378964059197,150.32069,-33.65039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
