"Transect","Location","Res_total_Location","myc_2nd_w","Res_remain_w","mean_undam_resin_w","myc_w_per_bead","hypo_bag","myc_2nd_w_est_yield","harvest_date","X1st_Soil_Sample","Bag_Install","Pair","Latitude","Longitude","Site_Pair","Days_Installed","log10_myc_2nd_w_est_yield","Biomass_day","log10_biomass_day","biomass_g_ha_day","Vegetation.Class","Vegetation.Class_abbreviation","Fire.Interval","Most.Recent.Fire_Year","X2nd.Most.Recent.Fire_Year","X3rd.Most.Recent.Fire_Year","Fire.Severity","FESM_Fire.Severity.Category","Fire.Type","Sample.Date_Fieldwork","Tree.Basal.Area_m2","Litter.Cover_20mm_perc","Mean.Litter.Depth_mm","Herb.Cover_0.50cm_perc","Shrub.Cover_50.200cm_perc","Shrub.Connected_50.200cm_perc","Mean.Max.Shrub.Height_cm","Herb.Shrub.Connected_0.200cm_perc","All.Tree.Canopy.Cover_perc","Live.Tree.Canopy.Cover_perc","Dead.Tree.Canopy.Cover_perc","Bray.P","NH4","NO3","Total.P","Carbon","Nitrogen","Count","pH","Ammonia_mg_kg","Nitrate_mg_kg","Ortho_P_mg_kg","Regime","Sample","Carb_Hyph","Nitrog_Hyph","Hydrogen","Sample_mg_CN","C_N","Sample_mg_P","Phos_Hyph","C_P","N_P","diff1","diff2","fire.frequency","myco_host_total","perc_myco_host_freq","Site","Tube_ID"
2,16,29.2,1.239,28.163,28.19075,0.0439938926960906,28.19075,1.24022083052232,"2024-03-08","2023-10-18","2023-10-18",2,-33.48607,150.40622,"10-56",142,0.0934990214029044,0.00873394951072054,-2.05878932298015,582.263300714703,"Sydney Montane DSF","SM","Short",2019,2013,2005,"High",4,"Wildfire","2022-08-16",34679.44,29.5918367346939,5.6551724137931,74,28,0,90.04,24,11,11,0,2.39635854341737,5.2345,0.0175,98.7,5.5992,0.14579,1,5.23,0.332670525157121,0.128093597983169,0.0217839008628342,"Short_High",10.2,48.5355832892999,3.64212912813739,6.66379656538969,0.757,13.3261566467637,1.789,0.0217453884851873,2231.99430639567,167.489724573942,6,8,7,143,0.740932642487047,10,"74"
2,33,28.383,2.476,27.397,28.19075,0.0903748585611563,28.19075,2.54773504398292,"2024-03-08","2023-10-18","2023-10-18",2,-33.48607,150.40622,"10-56",142,0.406154260822123,0.0179417960843867,-1.74613408356093,1196.11973895912,"Sydney Montane DSF","SM","Short",2019,2013,2005,"High",4,"Wildfire","2022-08-16",34679.44,29.5918367346939,5.6551724137931,74,28,0,90.04,24,11,11,0,2.39635854341737,5.2345,0.0175,98.7,5.5992,0.14579,1,5.42,0.438579041500894,0.0321385553162755,0.0371756031682301,"Short_High",10.2,48.5355832892999,3.64212912813739,6.66379656538969,0.757,13.3261566467637,1.789,0.0217453884851873,2231.99430639567,167.489724573942,6,8,7,143,0.740932642487047,10,"83"
2,47,26.457,0.582,25.431,28.19075,0.0228854547599387,28.19075,0.645158133773741,"2024-03-08","2023-10-18","2023-10-18",2,-33.48607,150.40622,"10-56",142,-0.190333823026691,0.0045433671392517,-2.34262216740975,302.89114261678,"Sydney Montane DSF","SM","Short",2019,2013,2005,"High",4,"Wildfire","2022-08-16",34679.44,29.5918367346939,5.6551724137931,74,28,0,90.04,24,11,11,0,2.39635854341737,5.2345,0.0175,98.7,5.5992,0.14579,1,5.31,0.220744367111006,0.00990916597853014,0.0589241476937596,"Short_High",10.2,48.5355832892999,3.64212912813739,6.66379656538969,0.757,13.3261566467637,1.789,0.0217453884851873,2231.99430639567,167.489724573942,6,8,7,143,0.740932642487047,10,"92"
1,3,28.752,4.121,27.681,28.4243333333333,0.14887467938297,28.4243333333333,4.23166351167467,"2024-03-08","2023-10-18","2023-10-18",5,-33.51962,150.35631,"11-29",142,0.626511126694224,0.0298004472653146,-1.52577721768883,1986.69648435431,"Sydney Montane DSF","SM","Short",2019,2013,2011,"High",5,"Wildfire","2022-08-09",53938.73,27.5510204081633,10.9285714285714,68,36,0,94.78,32,20,7,13,1.62254901960784,1.9035,0.125,106.1,3.2763,0.03378,1,5.23,0.00910371735125176,0.00566272894765363,0.0378779668364582,"Short_High",11.1,49.1687603699212,4.19953453608248,6.93373923590055,1.649,11.7081452593049,1.988,2.88e-06,17072486.239556,1458171.71391753,6,2,4,117,0.73125,11,"90"
1,16,15.474,0.894,14.474,28.4243333333333,0.0617659251070886,28.4243333333333,1.75565524388559,"2024-03-08","2023-10-18","2023-10-18",5,-33.51962,150.35631,"11-29",142,0.24443923800638,0.0123637693231379,-1.90784910637668,824.251288209196,"Sydney Montane DSF","SM","Short",2019,2013,2011,"High",5,"Wildfire","2022-08-09",53938.73,27.5510204081633,10.9285714285714,68,36,0,94.78,32,20,7,13,1.62254901960784,1.9035,0.125,106.1,3.2763,0.03378,1,5.09,0.174623462760813,0.0174105292248169,0.019586845377919,"Short_High",11.1,49.1687603699212,4.19953453608248,6.93373923590055,1.649,11.7081452593049,1.988,2.88e-06,17072486.239556,1458171.71391753,6,2,4,117,0.73125,11,"88"
1,33,27.954,0.535,26.922,28.4243333333333,0.019872223460367,28.4243333333333,0.564854703711958,"2024-03-08","2023-10-18","2023-10-18",5,-33.51962,150.35631,"11-29",142,-0.248063250394992,0.00397785002614055,-2.40035159477805,265.190001742703,"Sydney Montane DSF","SM","Short",2019,2013,2011,"High",5,"Wildfire","2022-08-09",53938.73,27.5510204081633,10.9285714285714,68,36,0,94.78,32,20,7,13,1.62254901960784,1.9035,0.125,106.1,3.2763,0.03378,1,5.01,0.0969188767550702,0.00415088032092712,0.0350456875417874,"Short_High",11.1,49.1687603699212,4.19953453608248,6.93373923590055,1.649,11.7081452593049,1.988,2.88e-06,17072486.239556,1458171.71391753,6,2,4,117,0.73125,11,"82"
1,47,28.567,0.513,27.605,28.4243333333333,0.0185835899293606,28.4243333333333,0.528226154682123,"2024-03-08","2023-10-18","2023-10-18",5,-33.51962,150.35631,"11-29",142,-0.277180098863844,0.00371990249776143,-2.4294684432469,247.993499850762,"Sydney Montane DSF","SM","Short",2019,2013,2011,"High",5,"Wildfire","2022-08-09",53938.73,27.5510204081633,10.9285714285714,68,36,0,94.78,32,20,7,13,1.62254901960784,1.9035,0.125,106.1,3.2763,0.03378,1,5.21,0.00260822314798044,0.00912878101793154,0.0135301575801485,"Short_High",11.1,49.1687603699212,4.19953453608248,6.93373923590055,1.649,11.7081452593049,1.988,2.88e-06,17072486.239556,1458171.71391753,6,2,4,117,0.73125,11,"76"
2,3,25.138,1.319,24.188,27.3763333333333,0.0545311724822226,27.3763333333333,1.49286355493082,"2024-03-08","2023-10-18","2023-10-18",5,-33.51962,150.35631,"11-29",142,0.174020115796992,0.0105131236262734,-1.97826822858606,700.874908418225,"Sydney Montane DSF","SM","Short",2019,2013,2011,"High",5,"Wildfire","2022-08-09",53938.73,24.4897959183673,7.375,64,22,0,41,16,15,7,8,0.400560224089636,2.5485,0.2895,77.9,1.706,0.04369,1,5.04,0.0404022655862411,0.0104183892839424,0.0312551678518274,"Short_High",11.2,41.3928002268977,3.07264490511551,6.14056951320132,1.212,13.4713907741128,0.5,NA,NA,NA,6,2,4,177,0.66044776119403,11,"95"
2,16,15.656,0.953,14.656,27.3763333333333,0.0650245633187773,27.3763333333333,1.78013412026929,"2024-03-08","2023-10-18","2023-10-18",5,-33.51962,150.35631,"11-29",142,0.250452724499083,0.0125361557765443,-1.90183561988397,835.743718436285,"Sydney Montane DSF","SM","Short",2019,2013,2011,"High",5,"Wildfire","2022-08-09",53938.73,24.4897959183673,7.375,64,22,0,41,16,15,7,8,0.400560224089636,2.5485,0.2895,77.9,1.706,0.04369,1,5.59,0.037049672489083,0.17127797489083,0.00757368995633188,"Short_High",11.2,41.3928002268977,3.07264490511551,6.14056951320132,1.212,13.4713907741128,0.5,NA,NA,NA,6,2,4,177,0.66044776119403,11,"87"
2,33,28.284,0.643,27.282,27.3763333333333,0.0235686533245363,27.3763333333333,0.645223309630281,"2024-03-08","2023-10-18","2023-10-18",5,-33.51962,150.35631,"11-29",142,-0.190289951479998,0.00454382612415691,-2.34257829586305,302.921741610461,"Sydney Montane DSF","SM","Short",2019,2013,2011,"High",5,"Wildfire","2022-08-09",53938.73,24.4897959183673,7.375,64,22,0,41,16,15,7,8,0.400560224089636,2.5485,0.2895,77.9,1.706,0.04369,1,5.14,0.193341763800308,0.00923685946778095,0.030734550252914,"Short_High",11.2,41.3928002268977,3.07264490511551,6.14056951320132,1.212,13.4713907741128,0.5,NA,NA,NA,6,2,4,177,0.66044776119403,11,"96"
2,47,28.707,0.441,27.696,27.3763333333333,0.01592287694974,27.3763333333333,0.435909987001733,"2024-03-08","2023-10-18","2023-10-18",5,-33.51962,150.35631,"11-29",142,-0.360603180878949,0.00306978864085728,-2.51289152526201,204.652576057152,"Sydney Montane DSF","SM","Short",2019,2013,2011,"High",5,"Wildfire","2022-08-09",53938.73,24.4897959183673,7.375,64,22,0,41,16,15,7,8,0.400560224089636,2.5485,0.2895,77.9,1.706,0.04369,1,5.04,0.00909878682842288,0.00909878682842288,0.00698656845753899,"Short_High",11.2,41.3928002268977,3.07264490511551,6.14056951320132,1.212,13.4713907741128,0.5,NA,NA,NA,6,2,4,177,0.66044776119403,11,"85"
1,3,26.847,1.786,25.85,26.4163333333333,0.0690909090909091,26.4163333333333,1.82512848484848,"2024-03-08","2023-09-27","2023-09-27",6,-33.52589,150.56587,"12-31",163,0.261293443201564,0.0111971072690091,-1.95089416120239,746.473817933941,"Sydney Coastal DSF","SC","Long",2019,2001,NA,"High",4,"Wildfire","2022-08-17",15743.3,23.469387755102,8.28260869565217,72,64,10,120.64,64,26,0,26,1.90826330532213,3.08,0.214,79.7,2.8202,0.05049,1,4.52,0.00974854932301741,0.00974854932301741,0.0559381044487427,"Long_High",12.1,44.1698250521921,2.68889759916493,5.82341423103688,1.437,16.4267412287882,0.615,NA,NA,NA,18,NA,18,176,0.709677419354839,12,"49"
1,16,26.655,0.218,25.665,26.4163333333333,0.0084940580557179,26.4163333333333,0.224381868952529,"2024-03-08","2023-09-27","2023-09-27",6,-33.52589,150.56587,"12-31",163,-0.649012238913179,0.00137657588314435,-2.86119984331714,91.7717255429568,"Sydney Coastal DSF","SC","Long",2019,2001,NA,"High",4,"Wildfire","2022-08-17",15743.3,23.469387755102,8.28260869565217,72,64,10,120.64,64,26,0,26,1.90826330532213,3.08,0.214,79.7,2.8202,0.05049,1,5.45,0.053156049094097,0.00981881940385739,0.0259497369959088,"Long_High",12.1,44.1698250521921,2.68889759916493,5.82341423103688,1.437,16.4267412287882,0.615,NA,NA,NA,18,NA,18,176,0.709677419354839,12,"48"
1,33,12.62,0.191,11.59,26.4163333333333,0.0164797238999137,26.4163333333333,0.435333879781421,"2024-03-08","2023-09-27","2023-09-27",6,-33.52589,150.56587,"12-31",163,-0.361177532636871,0.00267075999865902,-2.57336513704083,178.050666577268,"Sydney Coastal DSF","SC","Long",2019,2001,NA,"High",4,"Wildfire","2022-08-17",15743.3,23.469387755102,8.28260869565217,72,64,10,120.64,64,26,0,26,1.90826330532213,3.08,0.214,79.7,2.8202,0.05049,1,5.31,0.367234685073339,0.0454270923209664,0.056816220880069,"Long_High",12.1,44.1698250521921,2.68889759916493,5.82341423103688,1.437,16.4267412287882,0.615,NA,NA,NA,18,NA,18,176,0.709677419354839,12,"47"
1,47,25.747,0.97,24.76,26.4163333333333,0.0391760904684976,26.4163333333333,1.03488866451266,"2024-03-08","2023-09-27","2023-09-27",6,-33.52589,150.56587,"12-31",163,0.0148936299971625,0.00634901021173408,-2.1972939744068,423.267347448939,"Sydney Coastal DSF","SC","Long",2019,2001,NA,"High",4,"Wildfire","2022-08-17",15743.3,23.469387755102,8.28260869565217,72,64,10,120.64,64,26,0,26,1.90826330532213,3.08,0.214,79.7,2.8202,0.05049,1,5.31,0.0892669628432956,0.00209006462035541,0.0193255250403877,"Long_High",12.1,44.1698250521921,2.68889759916493,5.82341423103688,1.437,16.4267412287882,0.615,NA,NA,NA,18,NA,18,176,0.709677419354839,12,"45"
2,3,25.345,0.688,24.318,25.7275,0.0282918003125257,25.7275,0.727877292540505,"2024-03-08","2023-09-27","2023-09-27",6,-33.52589,150.56587,"12-31",163,-0.137941829017014,0.00446550486221169,-2.35012943342097,297.700324147446,"Sydney Coastal DSF","SC","Long",2019,2001,NA,"High",4,"Wildfire","2022-08-17",15743.3,21.4285714285714,5.69047619047619,58,36,2,66.2,34,32,2,30,1.50490196078431,11.163,0.2905,67.5,2.1151,0.017,1,4.83,0.086139896373057,0.0304095731556871,0.00444115470022206,"Long_High",12.2,42.0189712824548,4.23414677419355,6.0586898111723,1.271,9.9238343693123,0.785,0.0018343949044586,22906.1753171715,2308.19806787634,18,NA,18,192,0.786885245901639,12,"54"
2,16,25.751,0.757,24.687,25.7275,0.0306639121804999,25.7275,0.78890580062381,"2024-03-08","2023-09-27","2023-09-27",6,-33.52589,150.56587,"12-31",163,-0.10297485067097,0.00483991288726264,-2.31516245507493,322.660859150843,"Sydney Coastal DSF","SC","Long",2019,2001,NA,"High",4,"Wildfire","2022-08-17",15743.3,21.4285714285714,5.69047619047619,58,36,2,66.2,34,32,2,30,1.50490196078431,11.163,0.2905,67.5,2.1151,0.017,1,5.33,0.193036820998906,0.010207801676996,0.0406489245351805,"Long_High",12.2,42.0189712824548,4.23414677419355,6.0586898111723,1.271,9.9238343693123,0.785,0.0018343949044586,22906.1753171715,2308.19806787634,18,NA,18,192,0.786885245901639,12,"59"
2,33,25.761,0.967,24.773,25.7275,0.0390344326484479,25.7275,1.00425836596294,"2024-03-08","2023-09-27","2023-09-27",6,-33.52589,150.56587,"12-31",163,0.00184545830404123,0.00616109426971131,-2.21034214609992,410.739617980754,"Sydney Coastal DSF","SC","Long",2019,2001,NA,"High",4,"Wildfire","2022-08-17",15743.3,21.4285714285714,5.69047619047619,58,36,2,66.2,34,32,2,30,1.50490196078431,11.163,0.2905,67.5,2.1151,0.017,1,5.5,0.2406248738546,0.00968796673798087,0.0386913171598111,"Long_High",12.2,42.0189712824548,4.23414677419355,6.0586898111723,1.271,9.9238343693123,0.785,0.0018343949044586,22906.1753171715,2308.19806787634,18,NA,18,192,0.786885245901639,12,"68"
2,47,26.053,1.237,25.032,25.7275,0.0494167465643976,25.7275,1.27136934723554,"2024-03-08","2023-09-27","2023-09-27",6,-33.52589,150.56587,"12-31",163,0.104271736363795,0.0077998119462303,-2.10791586804016,519.98746308202,"Sydney Coastal DSF","SC","Long",2019,2001,NA,"High",4,"Wildfire","2022-08-17",15743.3,21.4285714285714,5.69047619047619,58,36,2,66.2,34,32,2,30,1.50490196078431,11.163,0.2905,67.5,2.1151,0.017,1,5.23,0.00853906999041227,0.0100671140939597,0.0263063279002876,"Long_High",12.2,42.0189712824548,4.23414677419355,6.0586898111723,1.271,9.9238343693123,0.785,0.0018343949044586,22906.1753171715,2308.19806787634,18,NA,18,192,0.786885245901639,12,"67"
1,3,26.026,1.503,25.016,26.72625,0.060081547809402,26.72625,1.60575446714103,"2024-03-06","2023-09-28","2023-09-28",4,-33.4982,150.50014,"26-8",160,0.205679138876704,0.0100359654196314,-1.99844084377922,669.064361308763,"Sydney Coastal DSF","SC","Short",2019,2013,2006,"Low",2,"Wildfire","2022-09-26",27642.28,39.7959183673469,25.2564102564103,82,52,8,133.54,50,42,39,16,1.73949579831933,6.337,0.178,57.8,4.5864,0.09911,1,5.3,0.0509673808762392,0.0100735529261273,0.0416133674448353,"Short_Low",26.1,44.3303466993756,3.40669553969672,6.12948461195362,1.121,13.0127116388341,1.988,0.0238316398390342,1860.14672086334,142.948431694442,6,7,6.5,200,0.858369098712446,26,"51"
1,16,26.24,1.529,25.21,26.72625,0.060650535501785,26.72625,1.62096137445458,"2024-03-06","2023-09-28","2023-09-28",4,-33.4982,150.50014,"26-8",160,0.209772666260547,0.0101310085903411,-1.99434731639538,675.400572689409,"Sydney Coastal DSF","SC","Short",2019,2013,2006,"Low",2,"Wildfire","2022-09-26",27642.28,39.7959183673469,25.2564102564103,82,52,8,133.54,50,42,39,16,1.73949579831933,6.337,0.178,57.8,4.5864,0.09911,1,5.47,0.0357001190003967,0.00493851646172154,0.0466481554938516,"Short_Low",26.1,44.3303466993756,3.40669553969672,6.12948461195362,1.121,13.0127116388341,1.988,0.0238316398390342,1860.14672086334,142.948431694442,6,7,6.5,200,0.858369098712446,26,"53"
1,33,27.969,1.372,26.979,26.72625,0.0508543682123133,26.72625,1.35914655843434,"2024-03-06","2023-09-28","2023-09-28",4,-33.4982,150.50014,"26-8",160,0.133266289762283,0.00849466599021461,-2.07085369289364,566.311066014307,"Sydney Coastal DSF","SC","Short",2019,2013,2006,"Low",2,"Wildfire","2022-09-26",27642.28,39.7959183673469,25.2564102564103,82,52,8,133.54,50,42,39,16,1.73949579831933,6.337,0.178,57.8,4.5864,0.09911,1,5.33,0.398921383298121,0.00934059824307795,0.0305237406872012,"Short_Low",26.1,44.3303466993756,3.40669553969672,6.12948461195362,1.121,13.0127116388341,1.988,0.0238316398390342,1860.14672086334,142.948431694442,6,7,6.5,200,0.858369098712446,26,"50"
1,47,26.67,1.056,25.67,26.72625,0.0411375146084924,26.72625,1.09945149980522,"2024-03-06","2023-09-28","2023-09-28",4,-33.4982,150.50014,"26-8",160,0.0411760760510227,0.00687157187378263,-2.1629439066049,458.104791585509,"Sydney Coastal DSF","SC","Short",2019,2013,2006,"Low",2,"Wildfire","2022-09-26",27642.28,39.7959183673469,25.2564102564103,82,52,8,133.54,50,42,39,16,1.73949579831933,6.337,0.178,57.8,4.5864,0.09911,1,5.07,0.167442539929879,0.00014608492403584,0.0332489287105571,"Short_Low",26.1,44.3303466993756,3.40669553969672,6.12948461195362,1.121,13.0127116388341,1.988,0.0238316398390342,1860.14672086334,142.948431694442,6,7,6.5,200,0.858369098712446,26,"46"
2,3,27.203,0.453,26.22,27.421,0.0172768878718535,27.421,0.473749542334096,"2024-03-06","2023-09-28","2023-09-28",4,-33.4982,150.50014,"26-8",160,-0.324451196573998,0.0029609346395881,-2.52857117922992,197.395642639207,"Sydney Coastal DSF","SC","Short",2019,2013,2006,"Low",2,"Wildfire","2022-09-26",27642.28,33.6734693877551,18.2727272727273,96,30,2,76.36,30,41,41,11,0.535014005602241,5.0765,0.14,86.4,4.7465,0.08495,1,5.1,0.00961098398169337,0.00961098398169337,0.0419908466819222,"Short_Low",26.2,46.2754848478783,2.96049533626902,5.92946997598078,1.249,15.6309940032526,2.173,0.0301967326277036,1532.4666220816,98.0402539827421,6,7,6.5,144,0.727272727272727,26,"81"
2,16,27.791,1.353,26.792,27.421,0.050500149298298,27.421,1.38476459390863,"2024-03-06","2023-09-28","2023-09-28",4,-33.4982,150.50014,"26-8",160,0.141375950833048,0.00865477871192893,-2.06274403182288,576.985247461929,"Sydney Coastal DSF","SC","Short",2019,2013,2006,"Low",2,"Wildfire","2022-09-26",27642.28,33.6734693877551,18.2727272727273,96,30,2,76.36,30,41,41,11,0.535014005602241,5.0765,0.14,86.4,4.7465,0.08495,1,4.94,0.0651407136458644,0.00940579277396238,0.0391348163630935,"Short_Low",26.2,46.2754848478783,2.96049533626902,5.92946997598078,1.249,15.6309940032526,2.173,0.0301967326277036,1532.4666220816,98.0402539827421,6,7,6.5,144,0.727272727272727,26,"75"
2,33,27.309,0.762,26.296,27.421,0.0289777912990569,27.421,0.794600015211439,"2024-03-06","2023-09-28","2023-09-28",4,-33.4982,150.50014,"26-8",160,-0.099851430966732,0.00496625009507149,-2.30397141362266,331.083339671433,"Sydney Coastal DSF","SC","Short",2019,2013,2006,"Low",2,"Wildfire","2022-09-26",27642.28,33.6734693877551,18.2727272727273,96,30,2,76.36,30,41,41,11,0.535014005602241,5.0765,0.14,86.4,4.7465,0.08495,1,5.28,0.00958320657134165,0.00958320657134165,0.0393025555217524,"Short_Low",26.2,46.2754848478783,2.96049533626902,5.92946997598078,1.249,15.6309940032526,2.173,0.0301967326277036,1532.4666220816,98.0402539827421,6,7,6.5,144,0.727272727272727,26,"57"
2,47,27.381,3.446,26.343,27.421,0.130812739627225,27.421,3.58701613331815,"2024-03-06","2023-09-28","2023-09-28",4,-33.4982,150.50014,"26-8",160,0.554733330006128,0.0224188508332384,-1.6493866526498,1494.59005554923,"Sydney Coastal DSF","SC","Short",2019,2013,2006,"Low",2,"Wildfire","2022-09-26",27642.28,33.6734693877551,18.2727272727273,96,30,2,76.36,30,41,41,11,0.535014005602241,5.0765,0.14,86.4,4.7465,0.08495,1,4.68,0.168887370458945,0.00956610864366246,0.0232889192574878,"Short_Low",26.2,46.2754848478783,2.96049533626902,5.92946997598078,1.249,15.6309940032526,2.173,0.0301967326277036,1532.4666220816,98.0402539827421,6,7,6.5,144,0.727272727272727,26,"66"
1,3,28.11,2.641,27.07,27.6,0.0975618766161803,27.6,2.69270779460658,"2024-03-05","2023-10-26","2023-10-26",5,-34.08446,151.07002,"11-29",131,0.430189227501635,0.0205550213328746,-1.68708206815413,1370.33475552498,"Sydney Coastal DSF","SC","Long",2020,2001,NA,"High",NA,"Prescribed Burn","2022-10-07",14419.73,29.5918367346939,33.9310344827586,68,48,6,130.92,44,27,21,6,0.282913165266106,4.3565,0.267,51,3.8906,0.0874,1,5.39,0.331501662356853,0.0312246028814185,0.0237717029922423,"Long_High",29.1,46.5847776098027,2.6510314290261,6.78983020369192,1.571,17.572321889415,0.617,NA,NA,NA,19,NA,19,169,0.565217391304348,29,"12"
1,16,27.1,0.308,26.11,27.6,0.0117962466487936,27.6,0.325576407506702,"2024-03-05","2023-10-26","2023-10-26",5,-34.08446,151.07002,"11-29",131,-0.487347073257282,0.00248531608783742,-2.60461836891305,165.687739189162,"Sydney Coastal DSF","SC","Long",2020,2001,NA,"High",NA,"Prescribed Burn","2022-10-07",14419.73,29.5918367346939,33.9310344827586,68,48,6,130.92,44,27,21,6,0.282913165266106,4.3565,0.267,51,3.8906,0.0874,1,5.33,0.17958636537725,0.0096514745308311,0.027230945997702,"Long_High",29.1,46.5847776098027,2.6510314290261,6.78983020369192,1.571,17.572321889415,0.617,NA,NA,NA,19,NA,19,169,0.565217391304348,29,"28"
1,47,27.59,0.473,26.57,27.6,0.0178020323673316,27.6,0.491336093338352,"2024-03-05","2023-10-26","2023-10-26",5,-34.08446,151.07002,"11-29",131,-0.308621331607248,0.00375065720105612,-2.42589262726301,250.043813403741,"Sydney Coastal DSF","SC","Long",2020,2001,NA,"High",NA,"Prescribed Burn","2022-10-07",14419.73,29.5918367346939,33.9310344827586,68,48,6,130.92,44,27,21,6,0.282913165266106,4.3565,0.267,51,3.8906,0.0874,1,5.14,0.343780579601054,0.00948438088069251,0.00671810312382386,"Long_High",29.1,46.5847776098027,2.6510314290261,6.78983020369192,1.571,17.572321889415,0.617,NA,NA,NA,19,NA,19,169,0.565217391304348,29,"7"
2,3,14.11,0.647,13.14,27.6,0.0492389649923897,27.6,1.35899543378995,"2024-03-05","2023-10-26","2023-10-26",5,-34.08446,151.07002,"11-29",131,0.133217997510156,0.0103740109449615,-1.98405329814561,691.600729664099,"Sydney Coastal DSF","SC","Long",2020,2001,NA,"High",NA,"Prescribed Burn","2022-10-07",14419.73,29.5918367346939,33.7241379310345,68,48,6,104.3,38,9,9,0,0.805322128851541,5.3235,0.2765,37.5,2.674,0.0465,1,5.47,0.720091324200913,0.113299086757991,0.0689497716894977,"Long_High",29.2,45.4098149122807,4.30351067251463,6.73964546783626,0.342,10.5518072029659,NA,NA,NA,NA,19,NA,19,113,0.5,29,"6"
